Reading,ELA,Math,Science,SS,SS Teacher,# Exceeds,,,
864,854,806,820,860,Love,3,,3,0
873,817,833,839,837,Love,1,,2,1
920,925,923,892,990,Love,5,,5,2
888,883,869,858,860,Love,5,,13,3
864,850,869,869,893,Love,5,,11,4
864,858,855,858,860,Love,5,,33,5
851,883,843,843,860,Love,3,,,
873,858,855,858,919,Love,5,,,
864,883,923,883,990,Love,5,,,
888,875,881,960,877,Love,5,,,
857,858,836,820,833,Love,2,,,
873,875,889,883,865,Love,5,,,
873,875,881,846,856,Love,4,,,
888,883,843,863,943,Love,4,,,
888,845,855,846,856,Love,3,,,
857,892,859,863,850,Love,5,,,
864,850,836,839,851,Love,3,,,
851,869,836,843,893,Love,3,,,
873,850,855,883,860,Love,5,,,
873,905,855,875,904,Love,5,,,
888,905,897,875,871,Love,5,,,
832,842,836,846,833,Love,0,,,
888,850,840,825,856,Neil,3,,,
864,869,833,869,893,Neil,4,,,
873,883,843,833,871,Neil,3,,,
873,845,833,854,860,Neil,3,,,
857,863,851,843,877,Neil,4,,,
920,905,990,960,919,Neil,5,,,
832,845,833,817,827,Neil,0,,,
888,892,869,869,851,Neil,5,,,
851,832,806,820,816,Neil,1,,,
873,863,875,850,850,Neil,5,,,
888,863,875,858,919,Neil,5,,,
873,869,836,825,844,Neil,2,,,
864,892,889,906,893,Neil,5,,,
873,863,840,850,856,Neil,4,,,
920,892,947,960,990,Neil,5,,,
857,858,850,850,851,Neil,5,,,
864,863,869,875,856,Neil,5,,,
920,869,836,850,850,Neil,4,,,
920,892,869,858,851,Neil,5,,,
850,905,875,906,884,Neil,5,,,
842,869,859,836,871,Neil,3,,,
888,863,851,883,865,Tucker,5,,,
888,883,836,875,850,Tucker,4,,,
873,869,855,846,851,Tucker,4,,,
888,892,881,928,893,Tucker,5,,,
864,850,821,828,830,Tucker,2,,,
920,905,881,875,884,Tucker,5,,,
864,869,859,875,865,Tucker,5,,,
851,842,827,830,871,Tucker,2,,,
864,905,875,854,877,Tucker,5,,,
864,858,851,850,871,Tucker,5,,,
864,875,851,858,851,Tucker,5,,,
850,858,827,854,833,Tucker,3,,,
873,875,947,928,871,Tucker,5,,,
850,850,864,854,856,Tucker,5,,,
851,875,881,836,856,Tucker,4,,,
920,842,851,833,851,Tucker,3,,,
864,863,889,830,865,Tucker,4,,,
842,850,830,825,851,Tucker,2,,,
823,838,808,825,824,Tucker,0,,,
873,858,864,875,865,Tucker,5,,,
888,892,947,863,840,Tucker,4,,,
864,883,864,863,865,Tucker,5,,,
888,858,836,833,850,Tucker,3,,,
,,,,,,,,,
,,,,,Love,Neil,Tucker,,
872.3,869.2,861.3,860.6,869.4,880.0,870.7,858.0,,
864,858,836,875,851,860,856,865,,
,,,,,,,,,
823,817,806,817,816,833,816,824,,
858.75,855,836,839,851,856,851,850.5,,
873,869,855,854,860,860,856,856,,
888,883,875,875,877,893,884,868,,
920,925,990,960,990,990,990,893,,
,,,,,,,,,
61,57,42,41,56,19,18,19,,
92%,86%,64%,62%,85%,86%,86%,83%,,
5,9,24,25,10,3,3,4,,
8%,14%,36%,38%,15%,14%,14%,17%,,