Period,Gender,SPED?,7th grade level,7th grade score,8th grade level,8th grade score,level change,growth,percent growth,,,,,,,,,,,
1,F,N,2,488,2,497,0,9,1.84%,,Level 1,2.35%,2,,,Level 1,Level 2,Level 3,Level 4,
1,F,N,3,577,3,570,0,-7,-1.21%,,,,,,Male,1,19,20,7,46
1,M,N,2,499,2,513,0,14,2.81%,,Level 2,41.18%,35,,Female,1,16,16,5,37
1,F,N,3,550,3,552,0,2,0.36%,,,,,,,2,35,36,12,83
1,M,N,2,499,3,525,1,26,5.21%,,Level 3,42.35%,36,,,,,,,
1,F,N,3,543,2,510,-1,-33,-6.08%,,,,,,,Level 1,Level 2,Level 3,Level 4,
1,M,N,2,488,2,511,0,23,4.71%,,Level 4,14.12%,12,,Male,2.2%,41.3%,43.5%,15.2%,100.0%
1,F,N,2,506,n/a,n/a,n/a,n/a,n/a,,,,,,Female,2.7%,43.2%,43.2%,13.5%,100.0%
1,M,N,3,555,3,544,0,-11,-1.98%,,,,85,,,4.9%,84.5%,86.7%,28.7%,
1,M,N,2,519,2,506,0,-13,-2.50%,,,,,,,,,,,
1,M,N,3,527,3,536,0,9,1.71%,,n/a,,8,,,Level 1,Level 2,Level 3,Level 4,
1,M,N,2,480,2,501,0,21,4.38%,,,,,,Male,50.0%,54.3%,55.6%,58.3%,
1,F,N,2,519,3,556,1,37,7.13%,,,,,,Female,50.0%,45.7%,44.4%,41.7%,
1,F,N,2,484,2,510,0,26,5.37%,,,,,,,100.0%,100.0%,100.0%,100.0%,
1,M,N,n/a,n/a,2,502,n/a,n/a,n/a,,,,,,,,,,,
1,F,N,2,484,2,494,0,10,2.07%,,,,,Average Score,,,,,,
1,M,N,3,528,3,540,0,12,2.27%,,,,,536.0,,,,,,
1,M,N,n/a,n/a,3,548,n/a,n/a,n/a,,,,,,,,,,,
1,M,N,3,535,3,536,0,1,0.19%,,,,,Male Average,,,,,,
1,F,N,2,511,3,532,1,21,4.11%,,,,,537.4,,,,,,
1,M,Y,2,511,2,522,0,11,2.15%,,,,,,,,,,,
1,M,Y,2,496,2,480,0,-16,-3.23%,,,,,Female Average,,,,,,
1,M,Y,1,467,1,446,0,-21,-4.50%,,,,,534.3,,,,,,
1,F,Y,1,444,1,451,0,7,1.58%,,,,,,,,,,,
1,M,Y,1,439,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,
1,M,Y,2,503,2,508,0,5,0.99%,,,,,,,,,,,
1,F,Y,1,453,2,487,1,34,7.51%,,,,,,,,,,,
3,M,N,3,546,3,552,0,6,1.1%,,,,,,,,,,,
3,M,N,4,617,3,566,-1,-51,-8.3%,,,,,,,,,,,
3,F,N,3,543,3,548,0,5,0.9%,,,,,,,,,,,
3,M,N,4,598,3,570,-1,-28,-4.7%,,,,,,,,,,,
3,M,N,4,593,2,504,-2,-89,-15.0%,,,,,,,,,,,
3,M,N,4,588,4,587,0,-1,-0.2%,,,,,,,,,,,
3,F,N,4,618,4,618,0,0,0.0%,,,,,,,,,,,
3,M,N,n/a,n/a,4,593,n/a,n/a,n/a,,,,,,,,,,,
3,F,N,4,601,3,552,-1,-49,-8.2%,,,,,,,,,,,
3,M,N,4,582,3,528,-1,-54,-9.3%,,,,,,,,,,,
3,M,N,4,582,3,576,-1,-6,-1.0%,,,,,,,,,,,
3,F,N,3,554,3,540,0,-14,-2.5%,,,,,,,,,,,
3,M,N,4,593,3,536,-1,-57,-9.6%,,,,,,,,,,,
3,M,N,4,619,4,629,0,10,1.6%,,,,,,,,,,,
3,M,Y,4,626,4,594,0,-32,-5.1%,,,,,,,,,,,
3,M,Y,3,554,3,544,0,-10,-1.8%,,,,,,,,,,,
3,F,Y,3,550,2,524,-1,-26,-4.7%,,,,,,,,,,,
3,M,Y,4,587,4,629,0,42,7.2%,,,,,,,,,,,
3,F,Y,4,594,4,581,0,-13,-2.2%,,,,,,,,,,,
3,M,Y,3,563,3,548,0,-15,-2.7%,,,,,,,,,,,
4,M,N,4,587,3,566,-1,-21,-3.6%,,,,,,,,,,,
4,F,N,2,506,3,536,1,30,5.9%,,,,,,,,,,,
4,F,N,2,523,2,506,0,-17,-3.3%,,,,,,,,,,,
4,F,N,3,573,4,581,1,8,1.4%,,,,,,,,,,,
4,M,N,3,554,3,561,0,7,1.3%,,,,,,,,,,,
4,F,N,3,550,4,615,1,65,11.8%,,,,,,,,,,,
4,F,N,4,588,3,532,-1,-56,-9.5%,,,,,,,,,,,
4,M,N,n/a,n/a,3,552,n/a,n/a,n/a,,,,,,,,,,,
4,F,N,4,587,4,607,0,20,3.4%,,,,,,,,,,,
4,F,N,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,
4,F,N,3,535,2,510,-1,-25,-4.7%,,,,,,,,,,,
4,F,N,n/a,n/a,3,565,n/a,n/a,n/a,,,,,,,,,,,
4,F,N,3,531,2,502,-1,-29,-5.5%,,,,,,,,,,,
4,M,Y,3,554,2,522,-1,-32,-5.8%,,,,,,,,,,,
4,M,Y,3,535,3,533,0,-2,-0.4%,,,,,,,,,,,
4,M,Y,4,587,4,629,0,42,7.2%,,,,,,,,,,,
4,M,Y,3,546,3,540,0,-6,-1.1%,,,,,,,,,,,
5,F,N,2,476,3,533,1,57,12.0%,,,,,,,,,,,
5,M,N,2,491,2,524,0,33,6.7%,,,,,,,,,,,
5,F,N,1,472,2,511,1,39,8.3%,,,,,,,,,,,
5,M,N,4,626,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,
5,M,N,2,524,2,511,0,-13,-2.5%,,,,,,,,,,,
5,F,N,2,488,2,504,0,16,3.3%,,,,,,,,,,,
5,F,N,2,506,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,
5,M,N,3,535,2,513,-1,-22,-4.1%,,,,,,,,,,,
5,M,N,2,524,2,506,0,-18,-3.4%,,,,,,,,,,,
5,M,N,3,531,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,
5,F,N,3,535,3,561,0,26,4.9%,,,,,,,,,,,
5,F,N,3,531,3,561,0,30,5.6%,,,,,,,,,,,
5,F,N,2,521,3,548,1,27,5.2%,,,,,,,,,,,
5,F,N,3,550,3,540,0,-10,-1.8%,,,,,,,,,,,
5,M,N,4,582,4,594,0,12,2.1%,,,,,,,,,,,
5,M,N,2,503,2,504,0,1,0.2%,,,,,,,,,,,
5,F,N,n/a,n/a,2,511,n/a,n/a,n/a,,,,,,,,,,,
5,M,N,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,
5,F,N,n/a,n/a,2,524,n/a,n/a,n/a,,,,,,,,,,,
5,F,N,2,521,3,548,1,27,5.2%,,,,,,,,,,,
5,M,N,2,480,2,517,0,37,7.7%,,,,,,,,,,,
5,M,N,2,476,2,499,0,23,4.8%,,,,,,,,,,,
5,F,N,n/a,n/a,2,483,n/a,n/a,n/a,,,,,,,,,,,
5,M,Y,2,488,2,504,0,16,3.3%,,,,,,,,,,,
5,M,Y,1,472,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,
5,F,Y,2,492,2,508,0,16,3.3%,,,,,,,,,,,
5,F,Y,n/a,n/a,2,495,n/a,n/a,n/a,,,,,,,,,,,
5,M,Y,1,467,2,480,1,13,2.8%,,,,,,,,,,,
5,M,Y,2,496,3,528,1,32,6.5%,,,,,,,,,,,