Class,Gender,Ethnicity,Absences,SPED?,504?,ED?,SST?,Gifted?,Scale Score,Achievement Level,"Numbers, Expressions, and Equations",Algebra and Functions,Geometry,Statistics and Probability,Norm-Referenced Score
1,M,W,3,N,N,N,N,N,543,3,2,2,2,1,73
1,F,W,6,N,N,N,N,N,513,2,2,1,1,2,78
1,M,W,2,N,N,Y,Y,N,546,3,3,2,1,2,88
1,F,W,16,N,N,Y,N,N,513,2,1,1,2,1,63
1,M,W,17,N,Y,Y,Y,N,475,2,1,1,1,1,25
1,F,W,20,N,N,Y,N,N,527,3,2,2,1,2,80
1,M,W,11,N,N,Y,N,N,589,4,3,3,3,2,97
1,M,W,20,N,Y,N,N,N,501,2,2,1,1,1,66
1,M,W,17,N,N,Y,N,N,519,2,2,1,2,2,92
1,F,H,2,N,Y,N,Y,N,476,2,1,1,1,1,16
1,M,W,0,N,Y,N,N,N,527,3,2,1,2,2,65
1,M,W,3,N,Y,Y,Y,N,491,2,2,1,1,1,59
1,F,W,4,N,N,Y,N,N,527,3,2,2,1,3,79
1,F,W,8,N,N,Y,Y,N,527,3,2,1,1,2,39
1,M,W,6,N,N,Y,N,N,550,3,2,3,2,2,99
1,M,W,24,N,N,Y,N,N,550,3,2,2,2,2,86
1,M,W,3,N,N,Y,N,N,559,3,2,3,3,3,86
1,M,W,7,N,Y,N,N,N,489,2,1,1,1,2,76
1,M,W,0,N,N,N,N,N,531,3,3,1,1,2,80
2,F,W,2,Y,N,N,N,N,479,2,1,1,1,1,46
2,M,W,15,Y,N,Y,N,N,,,,,,,
2,M,W,16,Y,N,Y,N,N,516,2,1,2,1,2,82
2,F,W,2,Y,N,Y,N,N,509,2,2,1,1,1,82
2,M,W,12,Y,N,N,N,N,573,3,2,3,3,3,88
2,M,W,8,Y,N,Y,N,N,468,1,1,1,1,1,32
2,M,M,14,Y,N,Y,N,N,494,2,1,1,1,1,53
3,F,W,,Y,N,,,N,501,2,1,1,1,2,45