,,,11,,17,,19,,17,,11,,,,,,,,,,,,
SPED?,Gender,Race,Algebraic Fundementals,AF %,Operations on Real Numbers & Algebraic Expressions,RN %,Solving Equations & Inequalities,SE %,Functions & their Graphs,F %,Connections & Applications,C & A %,Percent Correct,Raw Score,Grade,Yearly Average,Pass EOCT?,Pass Class?,,,,,
N,female,black,9,82%,11,65%,13,68%,10,59%,6,55%,65%,640,90,96,Yes,Yes,,,,,
N,male,black,2,18%,6,35%,5,26%,6,35%,3,27%,29%,561,56,70,No,Yes,,,,,
Y,female,black,3,27%,9,53%,9,47%,8,47%,3,27%,43%,591,67,78,No,Yes,,,,,
N,male,white,6,55%,5,29%,6,32%,4,24%,2,18%,31%,565,58,65,No,No,,,,,
N,male,white,10,91%,13,76%,10,53%,9,53%,8,73%,67%,640,90,96,Yes,Yes,,,,,
N,male,white,10,91%,4,24%,10,53%,8,47%,9,82%,55%,617,81,91,Yes,Yes,,,,,
N,male,white,4,36%,3,18%,5,26%,8,47%,6,55%,35%,574,61,80,No,Yes,,,,,
N,male,black,8,73%,4,24%,4,21%,7,41%,4,36%,36%,577,62,79,No,Yes,,,,,
N,female,black,6,55%,7,41%,8,42%,5,29%,4,36%,40%,585,65,75,No,Yes,,,,,
N,male,white,6,55%,5,29%,4,21%,11,65%,3,27%,39%,582,64,62,No,No,,,,,
N,female,other,5,45%,6,35%,5,26%,9,53%,9,82%,45%,582,64,85,No,Yes,,,,,
N,female,white,10,91%,7,41%,10,53%,11,65%,11,100%,65%,623,85,83,Yes,Yes,,,,,
N,female,black,5,45%,8,47%,9,47%,6,35%,6,55%,45%,599,69,79,No,Yes,,,,,
N,male,black,8,73%,11,65%,12,63%,7,41%,7,64%,60%,626,87,82,Yes,Yes,,,,,
Y,male,white,5,45%,1,6%,5,26%,3,18%,3,27%,23%,534,47,70,No,Yes,,,,,
,,,Algebraic Fundementals,AF %,Operations on Real Numbers & Algebraic Expressions,RN %,Solving Equations & Inequalities,SE %,Functions & their Graphs,F %,Connections & Applications,C & A %,Percent Correct,Raw Score,Grade,Yearly Average,Pass EOCT?,Pass Class?,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,6.5,59%,6.7,39%,7.7,40%,7.5,44%,5.6,51%,45%,593.1,69.7,79.4,33%,87%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,5.9,53%,8.0,47%,8.6,45%,7.0,41%,4.7,43%,46%,597.0,70.9,79.9,29%,100%,,,,,
,,,7.3,66%,5.4,32%,7.1,38%,7.7,45%,6.0,55%,45%,590.7,69.4,78.1,43%,71%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,6.6,60%,5.8,34%,6.8,36%,7.0,41%,5.0,45%,41%,586.2,67.3,77.2,33%,78%,,,,,
,,,6.3,58%,8.0,47%,9.0,47%,8.2,48%,6.5,59%,51%,603.3,73.3,82.7,33%,100%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,6.0,55%,7.0,41%,7.0,37%,6.7,39%,4.7,42%,42%,588.0,68.3,77.0,33%,100%,,,,,
,,,5.8,52%,8.8,51%,9.8,51%,7.3,43%,4.8,43%,48%,603.8,72.8,82.0,25%,100%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,6.8,62%,5.2,30%,6.7,35%,7.2,42%,5.2,47%,41%,585.3,66.8,77.3,33%,67%,,,,,
,,,10.0,91%,7.0,41%,10.0,53%,11.0,65%,11.0,100%,65%,623.0,85.0,83.0,100%,100%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,