,,,,78.3,66.1,19,19,16,,72.5,75.9,,,,,,,,,,,,
period,gender,race,SPED?,average,EOCT,Algebra,Geometry,Data,Pass/Fail,final exam,final grade,letter,absences,suspensions,To make:,A,B,C,A,B,C,,
1,M,W,N,79,54,3,3,4,fail,54,73,C,46,0,,222,122,22,not possible,not possible,50,,
5,F,W,N,58,54,3,3,4,fail,54,57,F,16,1,,379,279,179,not possible,not possible,not possible,,
1,M,W,N,54,54,4,3,3,fail,54,54,F,10,17,,409,309,209,not possible,not possible,not possible,,
5,M,W,N,82,55,3,6,2,fail,70,77,C,18,15,,198,98,-3,not possible,98,50,,
1,M,W,N,73,55,4,4,3,fail,65,70,F,6,3,,265,165,65,not possible,not possible,65,,
1,M,W,N,75,57,5,2,5,fail,80,73,C,12,0,,247,147,47,not possible,not possible,50,,
5,M,W,N,89,58,2,6,5,fail,70,82,B,8,0,,141,41,-60,not possible,50,50,,
5,F,W,N,90,60,7,5,2,fail,76,84,B,18,0,,130,30,-70,not possible,50,50,,
5,M,W,N,60,60,5,6,3,fail,0,54,F,34,20,,355,255,155,not possible,not possible,not possible,,
1,M,B,N,95,60,6,4,4,fail,80,88,B,7,0,,93,-8,-108,93,50,50,,
5,F,W,N,85,60,4,5,5,fail,60,79,C,9,0,,168,68,-33,not possible,68,50,,
5,M,W,N,75,61,5,5,5,fail,70,72,C,4,13,,241,141,41,not possible,not possible,50,,
1,M,W,Y,72,61,4,8,3,fail,71,70,C,0,0,,264,164,64,not possible,not possible,64,,
1,F,W,N,71,61,7,6,2,fail,72,70,C,4,1,,271,171,71,not possible,not possible,71,,
1,M,W,N,90,62,6,5,5,fail,62,83,B,34,0,,127,27,-73,not possible,50,50,,
5,F,B,N,90,62,5,7,4,fail,0,77,C,12,5,,127,27,-73,not possible,50,50,,
1,F,B,N,70,62,7,5,4,fail,96,71,C,1,0,,277,177,77,not possible,not possible,77,,
5,F,W,Y,73,62,5,5,6,fail,66,71,C,15,7,,255,155,55,not possible,not possible,55,,
5,F,B,Y,78,63,8,5,4,fail,63,74,C,4,17,,216,116,16,not possible,not possible,50,,
5,F,B,N,79,63,3,6,8,fail,64,75,C,19,0,,208,108,8,not possible,not possible,50,,
1,M,W,N,70,63,6,4,7,fail,60,68,F,7,3,,276,176,76,not possible,not possible,76,,
1,F,W,N,91,64,8,5,5,fail,80,86,B,1,0,,117,17,-84,not possible,50,50,,
1,M,W,N,73,64,3,12,3,fail,84,73,C,15,0,,252,152,52,not possible,not possible,52,,
5,M,W,N,75,65,7,5,7,fail,72,73,C,10,32,,235,135,35,not possible,not possible,50,,
5,M,W,Y,80,65,6,8,5,fail,78,78,C,10,2,,198,98,-3,not possible,98,50,,
1,M,W,N,65,65,10,4,5,fail,65,65,F,2,0,,310,210,110,not possible,not possible,not possible,,
5,M,W,N,76,65,7,8,4,fail,68,74,C,8,10,,228,128,28,not possible,not possible,50,,
1,M,W,Y,76,65,8,8,3,fail,65,73,C,8,0,,228,128,28,not possible,not possible,50,,
1,M,W,N,66,65,8,4,7,fail,76,67,F,4,3,,303,203,103,not possible,not possible,not possible,,
5,M,W,N,65,65,7,7,5,fail,66,65,F,48,11,,310,210,110,not possible,not possible,not possible,,
5,F,W,N,67,67,9,6,5,fail,86,69,F,5,0,,292,192,92,not possible,not possible,92,,
1,F,W,N,72,67,7,6,7,fail,80,72,C,8,0,,255,155,55,not possible,not possible,55,,
1,F,W,Y,71,67,8,6,6,fail,72,71,C,24,0,,262,162,62,not possible,not possible,62,,
1,F,W,N,80,67,9,5,6,fail,68,77,C,6,12,,195,95,-5,not possible,95,50,,
1,M,B,N,67,67,9,7,4,fail,94,70,C,3,0,,292,192,92,not possible,not possible,92,,
5,M,W,N,86,67,8,5,7,fail,80,83,B,4,0,,150,50,-51,not possible,50,50,,
5,F,B,N,79,67,7,6,7,fail,86,78,C,36,14,,202,102,2,not possible,not possible,50,,
1,F,W,N,77,68,10,8,3,fail,68,75,C,17,0,,216,116,16,not possible,not possible,50,,
1,F,B,N,88,68,8,5,8,fail,68,83,B,4,3,,133,33,-67,not possible,50,50,,
1,M,B,N,77,68,8,8,5,fail,68,75,C,3,10,,216,116,16,not possible,not possible,50,,
5,M,B,N,94,68,7,6,8,fail,100,91,A,4,0,,88,-12,-112,88,50,50,,
1,M,B,N,76,68,7,6,8,fail,68,74,C,12,22,,223,123,23,not possible,not possible,50,,
1,F,W,N,75,69,11,7,4,fail,73,74,C,16,0,,229,129,29,not possible,not possible,50,,
5,M,B,N,93,69,10,8,4,fail,100,90,A,5,3,,94,-6,-106,94,50,50,,
5,M,W,N,78,70,10,6,7,pass,76,77,C,11,3,,205,105,5,not possible,not possible,50,,
1,F,B,N,92,70,9,8,6,pass,80,88,B,12,3,,100,0,-100,100,50,50,,
5,M,H,N,82,71,10,7,7,pass,72,79,C,10,0,,174,74,-27,not possible,74,50,,
1,F,W,N,81,71,5,11,8,pass,71,79,C,9,0,,181,81,-19,not possible,81,50,,
5,F,W,N,86,71,12,5,7,pass,71,82,B,16,0,,144,44,-57,not possible,50,50,,
5,M,B,N,94,71,8,8,8,pass,84,90,A,7,0,,84,-17,-117,84,50,50,,
1,M,W,N,71,71,5,11,8,pass,71,71,C,5,0,,256,156,56,not possible,not possible,56,,
5,M,W,N,90,71,9,7,8,pass,74,86,B,9,0,,114,14,-87,not possible,50,50,,
5,M,W,N,72,72,10,9,6,pass,82,73,C,7,5,,247,147,47,not possible,not possible,50,,
5,M,W,N,83,72,6,9,10,pass,82,81,B,14,0,,165,65,-36,not possible,65,50,,
1,M,W,N,72,72,10,6,9,pass,72,72,C,12,9,,247,147,47,not possible,not possible,50,,
5,F,W,N,79,74,10,9,7,pass,74,78,C,14,0,,192,92,-9,not possible,92,50,,
5,M,W,N,74,74,10,10,6,pass,88,75,C,9,0,,229,129,29,not possible,not possible,50,,
5,M,W,N,90,75,11,8,8,pass,90,88,B,11,3,,108,8,-93,not possible,50,50,,
5,F,W,Y,92,77,9,13,7,pass,94,90,A,9,1,,90,-11,-111,90,50,50,,
1,M,W,N,79,78,11,12,7,pass,78,79,C,9,6,,186,86,-15,not possible,86,50,#DIV/0!,#DIV/0!
1,M,B,N,82,81,11,9,12,pass,81,82,B,5,0,,159,59,-42,not possible,59,50,5.0,0.0
5,M,W,N,81,81,11,13,8,pass,100,83,B,5,0,,166,66,-34,not possible,66,50,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18,7.3,6.7,5.7,,,,,,,,,,,,,,,
,,,,,29%,38%,35%,36%,,,,,,,,,,,,,,,