StudentID,Course,Grade,Section_Grade,Course_Type
STU108,Constitutional Law Honors,10,97.6,Law and Politics
STU115,Constitutional Law Honors,10,99.82,Law and Politics
STU126,Constitutional Law Honors,11,99.26,Law and Politics
STU153,"Philosophy, Politics, and Economics Post-AP",12,98.79,Law and Politics
STU162,"Philosophy, Politics, and Economics Post-AP",12,93.03,Law and Politics
STU166,International Relations Honors,10,93.95,Law and Politics
STU171,"Philosophy, Politics, and Economics Post-AP",12,98.18,Law and Politics
STU189,International Relations Honors,11,87.44,Law and Politics
STU202,"Philosophy, Politics, and Economics Post-AP",12,96.67,Law and Politics
STU229,International Relations Honors,11,92.56,Law and Politics
STU250,International Relations Honors,10,97.21,Law and Politics
STU269,International Relations Honors,10,92.09,Law and Politics
STU273,International Relations Honors,10,96.74,Law and Politics
STU275,Constitutional Law Honors,11,90.88,Law and Politics
STU296,Constitutional Law Honors,10,99.04,Law and Politics
STU300,Constitutional Law Honors,10,99.38,Law and Politics
STU306,International Relations Honors,10,90.23,Law and Politics
STU326,Constitutional Law Honors,10,99.73,Law and Politics
STU33,International Relations Honors,10,94.19,Law and Politics
STU357,International Relations Honors,10,96.95,Law and Politics
STU375,"Philosophy, Politics, and Economics Post-AP",12,98.18,Law and Politics
STU386,International Relations Honors,10,93.49,Law and Politics
STU389,International Relations Honors,10,90.93,Law and Politics
STU396,International Relations Honors,10,89.53,Law and Politics
STU4,International Relations Honors,10,87.44,Law and Politics
STU40,"Philosophy, Politics, and Economics Post-AP",12,94.85,Law and Politics
STU409,International Relations Honors,11,87.91,Law and Politics
STU431,"Philosophy, Politics, and Economics Post-AP",12,94.85,Law and Politics
STU474,"Philosophy, Politics, and Economics Post-AP",12,94.24,Law and Politics
STU478,Constitutional Law Honors,11,97.42,Law and Politics
STU51,International Relations Honors,12,97.21,Law and Politics
STU52,"Philosophy, Politics, and Economics Post-AP",12,95.76,Law and Politics
STU55,"Philosophy, Politics, and Economics Post-AP",12,97.88,Law and Politics
STU575,International Relations Honors,10,96.28,Law and Politics
STU584,Constitutional Law Honors,10,97.07,Law and Politics
STU594,International Relations Honors,11,95.58,Law and Politics
STU595,International Relations Honors,10,95.35,Law and Politics
STU616,International Relations Honors,10,97.44,Law and Politics
STU623,Constitutional Law Honors,10,96.89,Law and Politics
STU65,International Relations Honors,10,95.12,Law and Politics
STU657,Constitutional Law Honors,10,98.8,Law and Politics
STU658,International Relations Honors,10,99.53,Law and Politics
STU750,International Relations Honors,10,93.26,Law and Politics
STU751,Constitutional Law Honors,10,99.73,Law and Politics
STU803,International Relations Honors,10,96.28,Law and Politics
STU833,Constitutional Law Honors,10,94.51,Law and Politics