SOCI 21-22 Level,SOCI 21-22 Pass,DaysAbsent,ELL,EconomicallyDisadvantaged,Ethnicity,GTID,Gender,Gifted,Grade,LastLexileScore,SST,SWD,SOCI 21-22 Scale Score
Developing Learner,1,2,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",1036316432,FEMALE,N,8,1155,Y,N,478
Proficient Learner,1,18,N,N,"WHITE, NOT OF HISPANIC ORIGIN",1046045654,MALE,N,8,1190,N,N,566
Developing Learner,1,40,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",1068291966,MALE,N,8,885,N,N,487
Developing Learner,1,28,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",1258969653,FEMALE,N,8,1205,N,N,478
Beginning Learner,0,1,N,N,"WHITE, NOT OF HISPANIC ORIGIN",1330688392,MALE,N,8,955,N,Y,464
Beginning Learner,0,10,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",1370813653,FEMALE,N,8,1305,N,N,473
Proficient Learner,1,3,N,N,"WHITE, NOT OF HISPANIC ORIGIN",1451273487,MALE,N,8,1245,N,N,549
Developing Learner,1,7,N,N,"WHITE, NOT OF HISPANIC ORIGIN",1688696598,FEMALE,N,8,1030,Y,N,482
Proficient Learner,1,3,N,N,"WHITE, NOT OF HISPANIC ORIGIN",1742161464,FEMALE,Y,8,1665,N,N,543
Developing Learner,1,24,N,N,"WHITE, NOT OF HISPANIC ORIGIN",1772378891,FEMALE,N,8,1175,N,N,496
Developing Learner,1,15,N,N,"WHITE, NOT OF HISPANIC ORIGIN",1849864197,FEMALE,N,8,1260,N,N,506
Beginning Learner,0,21,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",1849868557,FEMALE,N,8,1205,N,N,434
Developing Learner,1,5,N,N,"WHITE, NOT OF HISPANIC ORIGIN",1849945617,MALE,N,8,1130,N,N,482
Beginning Learner,0,24,N,N,HISPANIC,1849961503,FEMALE,N,8,795,Y,N,429
Beginning Learner,0,7,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",1849973905,MALE,N,8,1055,Y,N,459
Developing Learner,1,13,N,N,"WHITE, NOT OF HISPANIC ORIGIN",1853007706,FEMALE,N,8,1130,N,N,506
Developing Learner,1,4,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",1976174619,FEMALE,N,8,1155,N,Y,478
Developing Learner,1,13,N,N,AMERICAN INDIAN OR ALASKA NATIVE,2020221125,FEMALE,N,8,1190,N,N,482
Developing Learner,1,10,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",2025980183,MALE,N,8,1245,Y,N,521
Developing Learner,1,25,N,N,"WHITE, NOT OF HISPANIC ORIGIN",2105278442,FEMALE,N,8,1010,N,N,496
Developing Learner,1,8,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",2197854003,FEMALE,N,8,1205,N,N,520
Beginning Learner,0,34,N,N,"WHITE, NOT OF HISPANIC ORIGIN",2239319828,MALE,N,8,960,N,N,428
Developing Learner,1,8,N,N,"WHITE, NOT OF HISPANIC ORIGIN",2280028069,MALE,Y,8,1225,N,N,496
Distinguished Learner,1,4,N,N,"WHITE, NOT OF HISPANIC ORIGIN",2320538429,FEMALE,Y,8,1505,N,N,606
Distinguished Learner,1,6,N,N,"WHITE, NOT OF HISPANIC ORIGIN",2327900832,FEMALE,Y,8,1440,N,N,583
Proficient Learner,1,3,N,N,Two Or More Races,2329720998,FEMALE,Y,8,1665,N,N,558
Developing Learner,1,2,Y,Y,HISPANIC,2338754425,FEMALE,N,8,760,N,N,482
Developing Learner,1,10,N,N,"WHITE, NOT OF HISPANIC ORIGIN",2366925751,MALE,N,8,1055,N,N,492
Proficient Learner,1,45,N,N,"WHITE, NOT OF HISPANIC ORIGIN",2441099035,MALE,N,8,1375,N,N,543
Developing Learner,1,17,N,N,"WHITE, NOT OF HISPANIC ORIGIN",2459182627,FEMALE,N,8,1205,N,N,510
Distinguished Learner,1,8,N,N,"WHITE, NOT OF HISPANIC ORIGIN",2495626556,FEMALE,Y,8,1505,N,N,593
Developing Learner,1,7,N,N,"WHITE, NOT OF HISPANIC ORIGIN",2677117509,FEMALE,N,8,1155,N,N,510
Beginning Learner,0,12,N,N,"WHITE, NOT OF HISPANIC ORIGIN",2849604224,MALE,N,8,935,Y,N,440
Developing Learner,1,5,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",2933271931,MALE,N,8,1040,N,N,492
Developing Learner,1,19,N,N,"WHITE, NOT OF HISPANIC ORIGIN",2937979521,FEMALE,N,8,1055,N,N,482
Developing Learner,1,11,N,N,"WHITE, NOT OF HISPANIC ORIGIN",3029704149,FEMALE,N,8,1245,N,N,482
Proficient Learner,1,6,N,N,"WHITE, NOT OF HISPANIC ORIGIN",3285644532,FEMALE,N,8,1520,N,N,538
Proficient Learner,1,20,N,N,"WHITE, NOT OF HISPANIC ORIGIN",3298122424,MALE,N,8,1325,N,N,544
Proficient Learner,1,9,N,Y,HISPANIC,3304294171,MALE,Y,8,1130,N,N,551
Developing Learner,1,17,N,N,"WHITE, NOT OF HISPANIC ORIGIN",3346697509,MALE,N,8,1440,N,N,521
Distinguished Learner,1,1,N,N,"WHITE, NOT OF HISPANIC ORIGIN",3445979871,MALE,Y,8,1355,N,N,590
Proficient Learner,1,10,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",3507236362,FEMALE,N,8,1225,N,N,543
Proficient Learner,1,38,N,N,"WHITE, NOT OF HISPANIC ORIGIN",3621808655,MALE,Y,8,1225,N,N,544
Proficient Learner,1,38,N,N,"WHITE, NOT OF HISPANIC ORIGIN",3788272856,FEMALE,Y,8,1665,N,N,566
Beginning Learner,0,15,N,N,HISPANIC,3791798975,FEMALE,N,8,1105,N,N,450
Proficient Learner,1,6,N,N,"WHITE, NOT OF HISPANIC ORIGIN",3877167705,FEMALE,N,8,1130,N,N,556
Developing Learner,1,1,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",3928617435,MALE,N,8,1040,Y,N,478
Developing Learner,1,31,N,N,"WHITE, NOT OF HISPANIC ORIGIN",3985307768,FEMALE,N,8,1225,N,N,516
Developing Learner,1,38,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",3994148599,FEMALE,N,8,1505,N,N,520
Proficient Learner,1,10,N,N,"WHITE, NOT OF HISPANIC ORIGIN",3998976221,MALE,N,8,1245,N,N,537
Beginning Learner,0,26,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",4006488734,MALE,N,8,855,Y,N,449
Proficient Learner,1,7,N,N,ASIAN,4017143776,MALE,N,8,1205,N,N,551
Beginning Learner,0,8,N,N,"WHITE, NOT OF HISPANIC ORIGIN",4173123116,FEMALE,N,8,1065,N,N,459
Beginning Learner,0,14,N,N,"WHITE, NOT OF HISPANIC ORIGIN",4214331311,MALE,N,8,915,Y,N,473
Developing Learner,1,3,N,N,"WHITE, NOT OF HISPANIC ORIGIN",4231309264,MALE,Y,8,1030,N,N,501
Developing Learner,1,7,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",4260549048,MALE,N,8,980,N,Y,478
Proficient Learner,1,14,N,N,"WHITE, NOT OF HISPANIC ORIGIN",4271202614,FEMALE,N,8,1245,Y,N,543
Beginning Learner,0,10,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",4344147049,MALE,N,8,960,Y,N,450
Beginning Learner,0,9,N,N,"WHITE, NOT OF HISPANIC ORIGIN",4384287518,MALE,N,8,1080,N,N,469
Proficient Learner,1,19,N,Y,HISPANIC,4630677399,MALE,N,8,1375,N,N,537
Distinguished Learner,1,0,N,N,Two Or More Races,4684970582,FEMALE,Y,8,1355,N,N,574
Distinguished Learner,1,6,N,N,"WHITE, NOT OF HISPANIC ORIGIN",4809015998,FEMALE,N,8,1305,N,N,617
Developing Learner,1,1,N,N,"WHITE, NOT OF HISPANIC ORIGIN",4834745813,MALE,N,8,1115,N,N,496
Distinguished Learner,1,9,N,N,HISPANIC,4835977085,MALE,Y,8,1225,N,N,675
Proficient Learner,1,9,N,N,"WHITE, NOT OF HISPANIC ORIGIN",4836046637,MALE,N,8,1305,N,N,549
Proficient Learner,1,0,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",5006151913,FEMALE,Y,8,1225,N,N,549
Distinguished Learner,1,18,N,N,"WHITE, NOT OF HISPANIC ORIGIN",5011684474,MALE,Y,8,1520,N,N,593
Developing Learner,1,7,N,Y,HISPANIC,5043895748,MALE,N,8,1055,Y,N,506
Beginning Learner,0,15,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",5069523783,MALE,N,8,1055,Y,N,444
Beginning Learner,0,18,N,N,HISPANIC,5093955956,FEMALE,N,8,935,N,N,468
Proficient Learner,1,2,N,N,"WHITE, NOT OF HISPANIC ORIGIN",5101214027,FEMALE,N,8,1225,N,N,527
Beginning Learner,0,28,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",5162437581,MALE,N,8,935,Y,Y,444
Developing Learner,1,16,N,N,"WHITE, NOT OF HISPANIC ORIGIN",5174764698,FEMALE,N,8,1355,N,N,510
Developing Learner,1,28,N,N,"WHITE, NOT OF HISPANIC ORIGIN",5196616438,MALE,N,8,1040,N,N,482
Proficient Learner,1,7,N,N,"WHITE, NOT OF HISPANIC ORIGIN",5241751793,FEMALE,Y,8,1520,N,N,549
Beginning Learner,0,10,N,N,"WHITE, NOT OF HISPANIC ORIGIN",5424745121,FEMALE,N,8,765,Y,N,454
Developing Learner,1,16,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",5479837516,FEMALE,N,8,935,Y,N,487
Developing Learner,1,23,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",5508682082,MALE,N,8,1225,N,N,521
Distinguished Learner,1,10,N,N,"WHITE, NOT OF HISPANIC ORIGIN",5571248033,FEMALE,Y,8,1520,N,N,574
Beginning Learner,0,19,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",5725004155,FEMALE,N,8,1115,Y,N,445
Proficient Learner,1,13,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",5783362932,FEMALE,N,8,1325,N,N,527
Distinguished Learner,1,6,N,N,"WHITE, NOT OF HISPANIC ORIGIN",6011090818,MALE,N,8,1520,N,N,583
Developing Learner,1,25,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",6219928563,MALE,N,8,1130,N,N,520
Developing Learner,1,15,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",6235074255,FEMALE,N,8,1305,Y,N,506
Distinguished Learner,1,2,N,N,"WHITE, NOT OF HISPANIC ORIGIN",6272650901,MALE,N,8,1325,N,N,590
Distinguished Learner,1,24,N,N,"WHITE, NOT OF HISPANIC ORIGIN",6272971573,MALE,Y,8,1355,N,N,593
Proficient Learner,1,9,N,N,"WHITE, NOT OF HISPANIC ORIGIN",6273758162,MALE,N,8,1325,N,N,532
Beginning Learner,0,20,N,N,"WHITE, NOT OF HISPANIC ORIGIN",6304150547,FEMALE,N,8,1260,N,N,473
Distinguished Learner,1,1,N,N,"WHITE, NOT OF HISPANIC ORIGIN",6501484324,FEMALE,Y,8,1645,N,N,583
Proficient Learner,1,5,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",6534158671,FEMALE,N,8,1520,N,N,527
Developing Learner,1,0,N,N,"WHITE, NOT OF HISPANIC ORIGIN",6632095044,MALE,N,8,1040,N,N,515
Proficient Learner,1,7,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",6748500753,FEMALE,N,8,1145,N,N,537
Proficient Learner,1,4,N,N,HISPANIC,6808846049,FEMALE,Y,8,1440,N,N,556
Beginning Learner,0,1,N,N,"WHITE, NOT OF HISPANIC ORIGIN",6810414886,FEMALE,N,8,1055,Y,N,469
Proficient Learner,1,12,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",6921346099,MALE,N,8,1040,N,Y,525
Proficient Learner,1,14,N,N,"WHITE, NOT OF HISPANIC ORIGIN",7038303252,FEMALE,N,8,1225,N,N,556
Proficient Learner,1,22,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",7054385948,FEMALE,N,8,1280,N,N,532
Proficient Learner,1,9,N,N,"WHITE, NOT OF HISPANIC ORIGIN",7068019668,FEMALE,N,8,1175,N,N,531
Developing Learner,1,2,N,N,"WHITE, NOT OF HISPANIC ORIGIN",7135530139,FEMALE,N,8,1225,N,N,496
Developing Learner,1,0,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",7327865667,MALE,N,8,1055,N,Y,482
Proficient Learner,1,9,N,N,"WHITE, NOT OF HISPANIC ORIGIN",7353815019,FEMALE,N,8,1260,N,N,544
Proficient Learner,1,13,N,N,"WHITE, NOT OF HISPANIC ORIGIN",7487613916,MALE,N,8,1205,N,N,556
Proficient Learner,1,9,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",7514786155,FEMALE,Y,8,1440,N,N,543
Beginning Learner,0,12,N,N,"WHITE, NOT OF HISPANIC ORIGIN",7526384251,FEMALE,N,8,1040,Y,N,469
Developing Learner,1,38,N,N,"WHITE, NOT OF HISPANIC ORIGIN",7613956609,MALE,N,8,1145,N,N,487
Developing Learner,1,6,N,N,"WHITE, NOT OF HISPANIC ORIGIN",7678190417,MALE,N,8,935,N,Y,487
Proficient Learner,1,2,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",7795220045,FEMALE,Y,8,1700,N,N,558
Distinguished Learner,1,4,N,N,"WHITE, NOT OF HISPANIC ORIGIN",7810858297,FEMALE,Y,8,1440,N,N,583
Proficient Learner,1,19,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",8089384412,MALE,N,8,1375,N,N,558
Distinguished Learner,1,30,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",8137443002,MALE,Y,8,1665,N,N,602
Developing Learner,1,25,N,N,"WHITE, NOT OF HISPANIC ORIGIN",8158350275,FEMALE,N,8,1260,N,N,511
Proficient Learner,1,4,N,N,"WHITE, NOT OF HISPANIC ORIGIN",8249584775,MALE,N,8,1505,N,Y,543
Developing Learner,1,12,N,N,"WHITE, NOT OF HISPANIC ORIGIN",8312928528,MALE,N,8,1105,N,Y,491
Proficient Learner,1,3,N,N,"WHITE, NOT OF HISPANIC ORIGIN",8391093115,MALE,N,8,1305,N,N,537
Beginning Learner,0,8,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",8480735112,MALE,N,8,960,N,N,440
Developing Learner,1,5,N,N,"WHITE, NOT OF HISPANIC ORIGIN",8602582021,FEMALE,Y,8,1420,N,N,516
Developing Learner,1,8,N,Y,HISPANIC,8622127648,FEMALE,N,8,1225,N,N,506
Proficient Learner,1,12,N,N,"WHITE, NOT OF HISPANIC ORIGIN",8785583901,FEMALE,Y,8,1355,N,N,532
Developing Learner,1,6,N,N,"WHITE, NOT OF HISPANIC ORIGIN",8850661193,FEMALE,N,8,1440,N,N,521
Proficient Learner,1,1,N,N,"WHITE, NOT OF HISPANIC ORIGIN",8852521534,MALE,N,8,1520,N,N,563
Developing Learner,1,0,N,N,"WHITE, NOT OF HISPANIC ORIGIN",8868821955,MALE,N,8,1420,N,N,501
Developing Learner,1,37,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",8957092064,FEMALE,N,8,1190,N,N,501
Beginning Learner,0,4,N,N,"WHITE, NOT OF HISPANIC ORIGIN",8982356908,FEMALE,N,8,910,N,Y,449
Proficient Learner,1,15,N,N,"WHITE, NOT OF HISPANIC ORIGIN",9051334842,MALE,Y,8,1375,N,N,571
Developing Learner,1,3,N,N,HISPANIC,9215061681,MALE,N,8,1010,N,N,516
Distinguished Learner,1,4,N,N,"WHITE, NOT OF HISPANIC ORIGIN",9298088566,FEMALE,Y,8,1645,N,N,642
Beginning Learner,0,15,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",9531372322,FEMALE,N,8,795,N,Y,468
Beginning Learner,0,20,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",9567114706,MALE,N,8,765,Y,N,450
Proficient Learner,1,2,N,N,"WHITE, NOT OF HISPANIC ORIGIN",9593505539,FEMALE,Y,8,1225,N,N,571
Proficient Learner,1,8,N,N,"WHITE, NOT OF HISPANIC ORIGIN",9694861233,FEMALE,N,8,1280,N,N,558
Developing Learner,1,26,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",9713713932,FEMALE,N,8,1505,N,N,510
Developing Learner,1,1,N,N,"WHITE, NOT OF HISPANIC ORIGIN",9779863949,FEMALE,N,8,1375,N,N,506
Proficient Learner,1,27,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",9887114685,MALE,N,8,1105,N,N,538
Beginning Learner,0,2,N,N,"WHITE, NOT OF HISPANIC ORIGIN",9908875914,FEMALE,N,8,935,N,N,473
Developing Learner,1,29,N,N,"WHITE, NOT OF HISPANIC ORIGIN",9933136461,MALE,N,8,1175,N,N,491