Gender,Gifted,BM1,BM2,BM3,EOG,EOG level,EOC,EOC level,EOC grade,Equations,Expressions,Functions,Statistics
M,N,29,47,63,546,3,587,3,90,2,3,3,3
F,Y,39,53,70,607,4,587,3,90,3,3,2,3
F,Y,32,63,67,605,4,616,4,93,3,3,3,3
M,N,23,63,68,613,4,548,3,84,3,2,3,2
F,Y,45,63,90,605,4,625,4,93,3,3,3,3
F,N,68,73,80,637,4,601,4,92,3,2,3,3
F,N,58,53,70,593,4,570,3,87,2,3,3,2
F,N,61,60,67,575,3,608,4,93,3,3,3,3
F,Y,61,0,67,616,4,548,3,84,2,2,3,2
M,N,55,33,60,542,3,524,2,79,1,1,2,1
M,N,32,43,53,558,3,528,3,80,2,2,2,2
M,N,45,63,70,622,4,607,4,93,3,3,3,3
M,N,52,57,70,542,3,563,3,86,2,3,2,2
M,N,68,63,77,607,4,587,3,90,3,3,2,2
F,N,45,60,73,582,4,575,3,88,2,3,3,3
M,N,65,67,83,637,4,624,4,93,3,2,3,3
M,N,65,40,67,600,4,601,4,92,3,3,3,3
M,Y,58,33,40,587,4,489,2,71,1,1,1,1
F,Y,39,33,70,558,3,543,3,83,3,3,1,2
F,Y,55,60,77,593,4,506,2,75,1,1,1,2
F,Y,61,60,80,647,4,659,4,95,3,3,3,3
M,N,35,40,47,512,2,534,3,81,3,2,1,2
F,Y,65,60,70,633,4,608,4,93,3,3,3,3
F,N,77,77,87,671,4,645,4,94,3,3,3,3
M,Y,58,70,57,647,4,548,3,84,2,3,1,2
M,N,39,57,47,562,3,563,3,86,2,3,2,2
F,N,52,47,57,562,3,563,3,86,3,3,2,2
F,N,39,56,77,613,4,569,3,87,3,3,2,2
M,Y,48,67,70,600,4,615,4,93,3,3,3,2
F,Y,52,70,73,625,4,634,4,94,3,3,3,3
F,Y,48,40,63,571,3,554,3,85,2,3,2,3
F,Y,71,67,63,625,4,594,4,92,3,3,3,3
,,,,,,,,,,,,,
,,51.3,54.3,67.9,596.7,3.7,578.8,3.3,87.7,2.53,2.63,2.41,2.44