Gender,Ethnicity,ELL,SWD,ED,SST,Gifted,Absences,Lexile,MATH 21 Scale Score,ELA 21 Scale Score,ELA 22 Pass,MATH 22 Pass,SCIE 22 Pass,SOCI 22 Pass,Subjects Passed,Overall Pass
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,Y,N,2,1155,492,494,1,1,0,1,3,0
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,40,885,494,443,0,1,1,1,3,0
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,28,1205,486,507,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,Y,N,N,N,1,955,472,455,0,0,0,0,0,0
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,10,1305,494,525,1,1,1,0,3,0
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,3,1245,538,598,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,Y,N,7,1030,455,453,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,3,1665,726,683,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,24,1175,512,539,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,13,1130,500,498,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,Y,Y,N,N,4,1155,488,468,1,1,1,1,4,1
FEMALE,AMERICAN INDIAN OR ALASKA NATIVE,N,N,N,N,N,13,1190,500,556,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,Y,N,10,1245,482,468,1,0,1,1,3,0
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,25,1010,480,521,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,8,1205,532,512,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,34,960,504,477,1,1,0,0,2,0
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,8,1225,543,544,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,4,1505,633,597,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,6,1440,617,624,1,1,1,1,4,1
FEMALE,Two Or More Races,N,N,N,N,Y,3,1665,580,614,1,1,1,1,4,1
FEMALE,HISPANIC,Y,N,Y,N,N,2,760,482,457,0,1,0,1,2,0
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,10,1055,510,534,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,17,1205,575,512,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,8,1505,586,590,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,7,1155,494,536,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,Y,N,12,935,450,468,1,1,0,0,2,0
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,5,1040,524,481,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,19,1055,469,480,1,0,1,1,3,0
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,11,1245,492,550,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,6,1520,528,556,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,20,1325,556,550,1,1,1,1,4,1
MALE,HISPANIC,N,N,Y,N,Y,9,1130,625,589,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,17,1440,516,541,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,1,1355,561,544,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,10,1225,530,562,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,38,1225,540,525,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,38,1665,532,598,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,6,1130,557,525,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,31,1225,530,531,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,38,1505,512,575,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,10,1245,552,515,1,1,1,1,4,1
MALE,ASIAN,N,N,N,N,N,7,1205,540,531,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,Y,N,14,915,480,455,1,1,1,0,3,0
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,3,1030,543,521,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,Y,Y,N,N,7,980,492,462,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,Y,N,10,960,494,427,0,1,0,0,1,0
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,9,1080,490,480,1,1,1,0,3,0
MALE,HISPANIC,N,N,Y,N,N,19,1375,528,526,1,1,1,1,4,1
FEMALE,Two Or More Races,N,N,N,N,Y,0,1355,603,618,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,6,1305,604,590,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,1,1115,540,503,1,1,0,1,3,0
MALE,HISPANIC,N,N,N,N,Y,9,1225,610,563,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,9,1305,570,582,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,Y,0,1225,570,582,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,18,1520,618,575,1,1,1,1,4,1
MALE,HISPANIC,N,N,Y,Y,N,7,1055,494,403,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,Y,N,15,1055,448,502,1,0,1,0,2,0
FEMALE,HISPANIC,N,N,N,N,N,18,935,512,485,1,1,0,0,2,0
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,2,1225,532,562,1,1,0,1,3,0
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,Y,Y,Y,N,28,935,476,455,0,0,0,0,0,0
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,16,1355,518,520,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,28,1040,557,489,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,7,1520,575,562,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,Y,N,10,765,473,502,0,1,0,0,1,0
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,Y,N,16,935,473,459,0,1,1,1,3,0
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,23,1225,469,546,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,10,1520,551,551,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,13,1325,544,539,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,6,1520,547,569,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,25,1130,522,507,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,Y,N,15,1305,508,531,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,2,1325,514,544,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,24,1355,633,582,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,9,1325,547,507,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,20,1260,498,520,1,1,1,0,3,0
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,1,1645,625,624,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,5,1520,506,569,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,0,1040,500,467,1,1,0,1,3,0
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,7,1145,580,597,1,1,1,1,4,1
FEMALE,HISPANIC,N,N,N,N,Y,4,1440,530,539,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,Y,N,1,1055,486,476,1,1,1,0,3,0
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,Y,Y,N,N,12,1040,532,502,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,14,1225,565,575,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,22,1280,498,516,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,9,1175,532,569,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,Y,Y,N,N,0,1055,480,498,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,9,1260,532,556,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,13,1205,556,575,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,Y,9,1440,591,575,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,Y,N,12,1040,453,494,1,1,1,0,3,0
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,38,1145,498,489,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,Y,N,N,N,6,935,486,474,0,1,1,1,3,0
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,Y,2,1700,617,614,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,4,1440,597,605,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,19,1375,570,598,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,Y,30,1665,626,597,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,25,1260,526,531,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,Y,N,N,N,4,1505,561,544,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,Y,N,N,N,12,1105,488,477,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,3,1305,540,536,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,8,960,500,507,1,1,1,0,3,0
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,5,1420,548,686,1,1,1,1,4,1
FEMALE,HISPANIC,N,N,Y,N,N,8,1225,469,550,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,12,1355,556,544,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,6,1440,514,562,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,1,1520,591,568,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,37,1190,482,471,1,1,0,1,3,0
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,Y,N,N,N,4,910,528,481,0,1,1,0,2,0
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,15,1375,586,630,1,1,1,1,4,1
MALE,HISPANIC,N,N,N,N,N,3,1010,502,471,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,4,1645,618,589,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,Y,Y,N,N,15,795,472,455,0,0,0,0,0,0
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,Y,N,20,765,476,512,0,0,0,0,0,0
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,2,1225,532,557,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,8,1280,575,608,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,26,1505,543,582,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,1,1375,540,507,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,27,1105,548,489,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,2,935,496,498,1,0,1,0,2,0
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,29,1175,536,546,1,1,1,1,4,1
